Season,Name,Team,PA,WAR,BB%,K%,Barrel%,HardHit%,EV,LA,maxEV,BABIP,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Spd,NameASCII,PlayerId,MLBAMID
2025,Oneil Cruz,PIT,544,1.5802876724117336,0.117647058,0.319852941,0.17880795,0.56622517,95.83566406,8.14,122.9,0.262411347,0.145695364,0.48013245,0.374172185,0.40728477,0.38410596,0.20860927,7.068212276948596,Oneil Cruz,21711,665833
2017,Giancarlo Stanton,MIA,692,6.434607237,0.122832369,0.235549132,0.17391304,0.4576659,92.00965337643679,11.229885057471265,122.2,0.288359788,0.160183066,0.446224256,0.393592677,0.44622426,0.35240275,0.201373,2.2592331941637998,Giancarlo Stanton,4949,519317
2021,Giancarlo Stanton,NYY,579,3.050541101,0.10880829,0.271157167,0.15730337,0.55617978,95.10085227272727,10.267045454545455,122.2,0.323987538,0.185393258,0.446629213,0.367977528,0.37921348,0.33988764,0.28089888,0.603186478,Giancarlo Stanton,4949,519317
2018,Giancarlo Stanton,NYY,705,3.772406685,0.09929078,0.29929078,0.15144231,0.50721154,93.69444444444444,11.707729468599034,121.7,0.333333333,0.185096153,0.44951923,0.365384615,0.38942308,0.37019231,0.24038462,3.7682602870321658,Giancarlo Stanton,4949,519317
2024,Oneil Cruz,PIT,599,3.6034565515239203,0.085141903,0.302170283,0.15659341,0.54945055,95.48066298342542,9.799450549,121.5,0.346938775,0.184065934,0.478021978,0.337912087,0.42032967,0.32967033,0.25,6.152637337221064,Oneil Cruz,21711,665833
2023,Ronald Acuña Jr.,ATL,735,9.154089994394008,0.108843537,0.114285714,0.15302491,0.55160142,94.70874720982142,7.408199643493761,121.2,0.3378119,0.201067615,0.494661921,0.304270462,0.39679715,0.35587189,0.24733096,7.284336987730482,Ronald Acuna Jr.,18401,660670
2017,Aaron Judge,NYY,678,8.695028418825173,0.187315634,0.30678466,0.25739645,0.55029586,95.01157385942136,15.830860534124628,121.1,0.356643356,0.218934911,0.349112426,0.431952662,0.41420118,0.30769231,0.27810651,4.817953441757046,Aaron Judge,15640,592450
2025,Vladimir Guerrero Jr.,TOR,680,3.887597554,0.119117647,0.138235294,0.12224449,0.50701403,91.96471774193549,7.841683366733467,120.4,0.31302521,0.212424849,0.464929859,0.32264529,0.36072144,0.38476954,0.25450902,2.899592320826113,Vladimir Guerrero Jr.,19611,665489
2025,Shohei Ohtani,LAD,727,7.480308905412754,0.149931224,0.257221458,0.23364486,0.58411215,94.88074933978874,14.976525821596244,120,0.315363881,0.169014084,0.392018779,0.438967136,0.45539906,0.37089202,0.17370892,7.133026572084944,Shohei Ohtani,19755,660271
2021,Manny Machado,SDP,640,4.476649863925626,0.0984375,0.159375,0.13319239,0.52219873,93.12017317,14.012738853503185,119.6,0.28988764,0.20338983,0.389830508,0.406779661,0.42706131,0.35729387,0.21564482,4.688078211060235,Manny Machado,11493,592518
2025,Ketel Marte,ARI,556,4.597192680518165,0.115107913,0.149280575,0.135,0.47,90.82594065,14.819095477386934,119.6,0.29032258,0.177944862,0.403508771,0.418546365,0.475,0.33,0.195,2.962806031479637,Ketel Marte,13613,606466
2024,Shohei Ohtani,LAD,731,8.951945250410542,0.110807113,0.221614227,0.21369295,0.59751037,95.80460578,16.198744769874477,119.2,0.336470588,0.236401673,0.359832635,0.40376569,0.42379958,0.34655532,0.22964509,8.105655160534827,Shohei Ohtani,19755,660271
